Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0233629429238116,4.22881594878133E-05,0.0485862192692521,0,0,0,2.67357451448379,0.0838676214813811,-4.20361720258225E-06,0.00129491227389105,0.0952701211607136,1.6066275313901E-06,0.0409475340600111,0,0,0,0,0,0,package://nexa/meshes/base_link.STL,0.509803921568627,0.509803921568627,0.509803921568627,1,0,0,0,0,0,0,package://nexa/meshes/base_link.STL,,navebase.stp-1,Global Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leftwheel_link,-1.74075753811564E-10,1.74083775172917E-10,0.000381565663131411,0,0,0,1.44920481477612,0.00347079630181746,-5.8844939595754E-16,-1.29155431134988E-09,0.00347079630181747,1.29155395907396E-09,0.00630183667634335,0,0,0,0,0,0,package://nexa/meshes/leftwheel_link.STL,0.215686274509804,0.215686274509804,0.215686274509804,1,0,0,0,0,0,0,package://nexa/meshes/leftwheel_link.STL,,leftwheel.stp-1,Coordinate System1,Axis1,leftwheel_joint,continuous,0.0540389524650898,0.169779999524495,-0.0149989847207889,1.5707963267949,0,0,base_link,0,0,0.999999999999792,,,,,,,,,,,,
rightwheel_link,1.74075198700052E-10,-1.74083469861586E-10,-0.000381565663131717,0,0,0,1.44920481477613,0.00347079630181749,-5.88843528628314E-16,-1.29155425553129E-09,0.00347079630181749,1.2915540535382E-09,0.00630183667634338,0,0,0,0,0,0,package://nexa/meshes/rightwheel_link.STL,0.215686274509804,0.215686274509804,0.215686274509804,1,0,0,0,0,0,0,package://nexa/meshes/rightwheel_link.STL,,rightwheel.stp-2,Coordinate System2,Axis2,rightwheel_joint,continuous,0.0540387975537798,-0.169780000237316,-0.0149988298094792,1.5707963267949,0,0,base_link,0,0,0.999999999999792,,,,,,,,,,,,
casterwheelmount_link,0.00187352191273216,0.0129405492524937,-0.0103000078506701,0,0,0,0.0102706017023182,3.93968493623888E-06,-2.8232800941337E-07,5.63131676132563E-08,3.432191688351E-06,1.42222659679423E-06,3.85767367428349E-06,0,0,0,0,0,0,package://nexa/meshes/casterwheelmount_link.STL,0.509803921568627,0.509803921568627,0.509803921568627,1,0,0,0,0,0,0,package://nexa/meshes/casterwheelmount_link.STL,,casterwheelmount.stp-2,Coordinate System3,Axis3,casterwheelmount_joint,continuous,0.139639576281008,0.0791060227155972,-0.051842999999996,-1.5707963267949,0,-1.5707963267949,base_link,0,-1,0,,,,,,,,,,,,
casterwheel_link,1.33226762955019E-15,1.23512311489549E-15,-0.0112773964520611,0,0,0,0.0399331188999233,7.77541411629872E-06,-1.01833774330127E-21,-2.72426971660664E-19,7.77541411629871E-06,4.13954478132233E-19,1.27535117768465E-05,0,0,0,0,0,0,package://nexa/meshes/casterwheel_link.STL,0.270588235294118,0.270588235294118,0.270588235294118,1,0,0,0,0,0,0,package://nexa/meshes/casterwheel_link.STL,,casterwheel.stp-5,Coordinate System7,Axis7,casterwheel_joint,continuous,0.0151109163570423,0.0349719999999999,-0.0235537261563978,0,-1.41616610057807,3.14159265358979,casterwheelmount_link,-3.74938274523284E-05,0,-0.999999999297106,,,,,,,,,,,,
casterwheelmount1_link,-0.0101545114856474,0.00254678088783966,0.0129405492213775,0,0,0,0.0102706060663648,3.86541891392595E-06,6.12075400190165E-08,1.40058301400974E-06,3.93194090481684E-06,-3.75240720638479E-07,3.43219229056267E-06,0,0,0,0,0,0,package://nexa/meshes/casterwheelmount1_link.STL,0.509803921568627,0.509803921568627,0.509803921568627,1,0,0,0,0,0,0,package://nexa/meshes/casterwheelmount1_link.STL,,casterwheelmount1.stp-1,Coordinate System4,Axis4,casterwheelmount1_joint,continuous,0.139639576281007,-0.0808939772844029,-0.051842999999996,-3.14159265358979,0,0,base_link,0,0,-1,,,,,,,,,,,,
casterwheel1_link,-0.00246586444429442,-1.09634523681734E-15,-0.0110045074073896,0,0,0,0.0399331188999234,8.0134180379355E-06,-6.57097464824199E-20,1.06214918857322E-06,7.77541411629872E-06,-2.92153038680237E-19,1.25155078552097E-05,0,0,0,0,0,0,package://nexa/meshes/casterwheel1_link.STL,0.270588235294118,0.270588235294118,0.270588235294118,1,0,0,0,0,0,0,package://nexa/meshes/casterwheel1_link.STL,,casterwheel1.stp-1,Coordinate System8,Axis8,casterwheel1_joint,continuous,-0.0225090715658005,0.0166270714873566,0.0349720000000002,-1.5707963267949,0,0,casterwheelmount1_link,0.218655472012234,0,0.975802123670115,,,,,,,,,,,,
casterwheelmount2_link,-0.0104656615937944,0.000264812566949602,0.0129405496800931,0,0,0,0.0102706060928633,3.84248026188763E-06,4.11615522049579E-08,1.44874042580228E-06,3.95487969647682E-06,-5.99155602306657E-08,3.43219234854318E-06,0,0,0,0,0,0,package://nexa/meshes/casterwheelmount2_link.STL,0.509803921568627,0.509803921568627,0.509803921568627,1,0,0,0,0,0,0,package://nexa/meshes/casterwheelmount2_link.STL,,casterwheelmount2.stp-1,Coordinate System5,Axis5,casterwheelmount2_joint,continuous,-0.115360423718992,0.0971060227155969,-0.052842999999998,3.14159265358979,0,0,base_link,0,0,-1,,,,,,,,,,,,
casterwheel2_link,0,1.11022302462516E-15,-0.0112773964520597,0,0,0,0.0399331188999233,7.77541411629873E-06,-2.72948711563285E-22,-3.84041109193569E-19,7.77541411629872E-06,3.01712944588664E-19,1.27535117768465E-05,0,0,0,0,0,0,package://nexa/meshes/casterwheel2_link.STL,0.270588235294118,0.270588235294118,0.270588235294118,1,0,0,0,0,0,0,package://nexa/meshes/casterwheel2_link.STL,,casterwheel2.stp-1,Coordinate System9,Axis9,casterwheel2_joint,continuous,-0.0256000000000002,0.0113030000000002,0.0349719999999999,-1.5707963267949,0,0,casterwheelmount2_link,0,0,1,,,,,,,,,,,,
casterwheelmount3_link,-0.010340494088649,-0.00163533682142492,0.0129405509142809,0,0,0,0.0102706136475918,3.83150337395354E-06,1.84372120086148E-08,1.43562765937134E-06,3.96585848591721E-06,2.03502642139208E-07,3.43219311730015E-06,0,0,0,0,0,0,package://nexa/meshes/casterwheelmount3_link.STL,0.509803921568627,0.509803921568627,0.509803921568627,1,0,0,0,0,0,0,package://nexa/meshes/casterwheelmount3_link.STL,,casterwheelmount3.stp-1,Coordinate System6,Axis6,casterwheelmount3_link,continuous,-0.115360423718995,-0.0988939772844037,-0.052842999999996,3.14159265358979,0,0,base_link,0,0,-1,,,,,,,,,,,,
casterwheel3_link,0.00204280486025432,7.49400541621981E-16,-0.0110908349117569,0,0,0,0.0399331188999233,7.93875672263076E-06,1.9998661676797E-20,-8.8682277790206E-07,7.77541411629873E-06,-7.49859329312308E-20,1.25901691705145E-05,0,0,0,0,0,0,package://nexa/meshes/casterwheel3_link.STL,0.270588235294118,0.270588235294118,0.270588235294118,1,0,0,0,0,0,0,package://nexa/meshes/casterwheel3_link.STL,,casterwheel3.stp-1,Coordinate System10,Axis10,casterwheel3_joint,continuous,-0.0272239429004355,0.0064787917047735,0.0349719999999999,-1.5707963267949,0,0,casterwheelmount3_link,-0.18114153110955,0,0.983457038058749,,,,,,,,,,,,
camer_Link,0.0014858590321436,0.0183400588332211,-7.88564831766259E-08,0,0,0,0.123421651539353,0.000429899634243806,-2.33350789116604E-05,5.60927268320891E-11,0.000212016762319961,1.68959859120517E-09,0.000438998679665635,0,0,0,0,0,0,package://nexa/meshes/camer_Link.STL,0.509803921568627,0.509803921568627,0.509803921568627,1,0,0,0,0,0,0,package://nexa/meshes/camer_Link.STL,,Camer_setup.step-2,Coordinate System11,Axis11,camer_joint,fixed,0.00431397405279732,0,0.783119999523163,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
realsense_Link,0.0102742584795974,0.00711896653540789,0.000871321821130366,0,0,0,0.0332748943180587,2.57397368671904E-05,1.19148398558562E-08,2.83984493526265E-07,2.57224986374103E-05,-3.83724140917947E-07,3.2006669857039E-06,0,0,0,0,0,0,package://nexa/meshes/realsense_Link.STL,0.56078431372549,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://nexa/meshes/realsense_Link.STL,,realsense.stp-3,Coordinate System12,Axis12,realsense_joint,fixed,0.083403701772902,0.182836639605286,0,0,0,0,camer_Link,0,0,0,,,,,,,,,,,,
cameratop_Link,-0.00501711981331032,-1.07127451966994,5.50848912026225E-05,0,0,0,5.9294953875902,0.288388098161001,0.00413930161226115,-6.07274589378271E-05,0.138230832699961,2.09008782504397E-05,0.226009248166915,0,0,0,0,0,0,package://nexa/meshes/cameratop_Link.STL,1,1,1,1,0,0,0,0,0,0,package://nexa/meshes/cameratop_Link.STL,,,Coordinate System13,Axis13,cameratop_joint,fixed,0.0379819969671267,0.322068596376853,0,0,0,0,camer_Link,0,0,0,,,,,,,,,,,,
