Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.023363,4.2288E-05,0.048586,0,0,0,2.6736,0.083868,-4.2036E-06,0.0012949,0.09527,1.6066E-06,0.040948,0,0,0,0,0,0,package://nexzino/meshes/base_link.STL,0.5098,0.5098,0.5098,1,0,0,0,0,0,0,package://nexzino/meshes/base_link.STL,,navebase.stp-1,Global Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leftwheel_link,-1.7408E-10,1.7408E-10,0.00038157,0,0,0,1.4492,0.0034708,-5.8845E-16,-1.2916E-09,0.0034708,1.2916E-09,0.0063018,0,0,0,0,0,0,package://nexzino/meshes/leftwheel_link.STL,0.21569,0.21569,0.21569,1,0,0,0,0,0,0,package://nexzino/meshes/leftwheel_link.STL,,leftwheel.stp-1,Coordinate System1,Axis1,leftwheel_joint,continuous,0.054039,0.16978,-0.014999,1.5708,0,0,base_link,0,0,1,10,10,,,,,0.1,0.1,,,,
rightwheel_link,-0.016753,0.048913,-0.16987,0,0,0,5.9295,0.28844,0.0041439,1.0201E-05,0.13829,-8.0393E-05,0.22602,0,0,0,0,0,0,package://nexzino/meshes/rightwheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://nexzino/meshes/rightwheel_link.STL,,,Coordinate System2,Axis2,rightwheel_joint,continuous,0.054039,-0.16978,-0.014999,1.5708,0,0,base_link,0,0,1,10,10,,,,,0.1,0.1,,,,
casterwheelmount_link,-0.003678,0.012941,-0.0098017,0,0,0,0.010271,3.9677E-06,4.8757E-07,-9.4727E-09,3.4322E-06,1.3655E-06,3.8297E-06,0,0,0,0,0,0,package://nexzino/meshes/casterwheelmount_link.STL,0.5098,0.5098,0.5098,1,0,0,0,0,0,0,package://nexzino/meshes/casterwheelmount_link.STL,,casterwheelmount.stp-1,Coordinate System3,Axis3,casterwheelmount_joint,continuous,0.13964,0.079106,-0.051843,-1.5708,0,-1.5708,base_link,0,-1,0,10,10,,,,,,,,,,
casterwheel_link,0.0042278,1.0547E-15,-0.010455,0,0,0,0.039933,8.4751E-06,-1.0406E-19,-1.7301E-06,7.7754E-06,2.5673E-19,1.2054E-05,0,0,0,0,0,0,package://nexzino/meshes/casterwheel_link.STL,0.27059,0.27059,0.27059,1,0,0,0,0,0,0,package://nexzino/meshes/casterwheel_link.STL,,casterwheel.stp-1,Coordinate System7,Axis7,casterwheel_joint,continuous,0.00088146,0.034972,-0.02797,0,-1.5708,0,casterwheelmount_link,-0.37489,0,0.92707,10,10,,,,,0.1,0.1,,,,
casterwheelmount1_link,-0.010466,0.00026481,0.012941,0,0,0,0.010271,3.8425E-06,4.1162E-08,1.4487E-06,3.9549E-06,-5.9916E-08,3.4322E-06,0,0,0,0,0,0,package://nexzino/meshes/casterwheelmount1_link.STL,0.5098,0.5098,0.5098,1,0,0,0,0,0,0,package://nexzino/meshes/casterwheelmount1_link.STL,,casterwheelmount1.stp-1,Coordinate System4,Axis4,casterwheelmount1_joint,continuous,0.13964,-0.080894,-0.051843,-3.1416,0,0,base_link,0,0,-1,10,10,,,,,,,,,,
casterwheel1_link,-1.1102E-16,1.0963E-15,-0.011277,0,0,0,0.039933,7.7754E-06,-2.3709E-22,-3.8297E-19,7.7754E-06,2.9167E-19,1.2754E-05,0,0,0,0,0,0,package://nexzino/meshes/casterwheel1_link.STL,0.27059,0.27059,0.27059,1,0,0,0,0,0,0,package://nexzino/meshes/casterwheel1_link.STL,,casterwheel1.stp-1,Coordinate System8,Axis8,casterwheel1_joint,continuous,-0.0256,0.011303,0.034972,-1.5708,0,0,casterwheelmount1_link,0,0,1,10,10,,,,,0.1,0.1,,,,
casterwheelmount2_link,-0.010466,0.00026481,0.012941,0,0,0,0.010271,3.8425E-06,4.1162E-08,1.4487E-06,3.9549E-06,-5.9916E-08,3.4322E-06,0,0,0,0,0,0,package://nexzino/meshes/casterwheelmount2_link.STL,0.5098,0.5098,0.5098,1,0,0,0,0,0,0,package://nexzino/meshes/casterwheelmount2_link.STL,,casterwheelmount2.stp-1,Coordinate System5,Axis5,casterwheelmount2_joint,continuous,-0.11536,0.097106,-0.052843,3.1416,0,0,base_link,0,0,-1,10,10,,,,,,,,,,
casterwheel2_link,0,1.1102E-15,-0.011277,0,0,0,0.039933,7.7754E-06,-2.7295E-22,-3.8404E-19,7.7754E-06,3.0171E-19,1.2754E-05,0,0,0,0,0,0,package://nexzino/meshes/casterwheel2_link.STL,0.27059,0.27059,0.27059,1,0,0,0,0,0,0,package://nexzino/meshes/casterwheel2_link.STL,,casterwheel2.stp-1,Coordinate System9,Axis9,casterwheel2_joint,continuous,-0.0256,0.011303,0.034972,-1.5708,0,0,casterwheelmount2_link,0,0,1,10,10,,,,,0.1,0.1,,,,
casterwheelmount3_link,-0.010340494088649,-0.00163533682142492,0.0129405509142809,0,0,0,0.0102706136475918,3.83150337395354E-06,1.84372120086148E-08,1.43562765937134E-06,3.96585848591721E-06,2.03502642139208E-07,3.43219311730015E-06,0,0,0,0,0,0,package://nexzino/meshes/casterwheelmount3_link.STL,0.509803921568627,0.509803921568627,0.509803921568627,1,0,0,0,0,0,0,package://nexzino/meshes/casterwheelmount3_link.STL,,casterwheelmount3.stp-1,Coordinate System6,Axis6,casterwheelmount3_link,continuous,-0.11536,-0.098894,-0.052843,3.1416,0,0,base_link,0,0,-1,10,10,,,,,,,,,,
