Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0685860536068752,3.24996896727464E-08,-0.0566084488849558,0,0,0,1.46208018179117,0.0321277711577866,-1.89510236572257E-05,0.00256655656961068,0.0524908195571129,-1.03584073628694E-09,0.0807823417997845,0,0,0,0,0,0,package://robotics_arm_v7/meshes/base_link.STL,0.686274509803922,0.56078431372549,0.56078431372549,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/base_link.STL,,NavPlatform-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
basestand_l,2.62813088240766E-05,1.16979828362042E-05,-0.297846297990578,0,0,0,2.18930683028157,0.204988049565948,-2.77505341854448E-05,1.78619110355408E-05,0.225023025369704,8.0696571220082E-06,0.0409368656622474,0,0,0,0,0,0,package://robotics_arm_v7/meshes/basestand_l.STL,0.686274509803922,0.56078431372549,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/basestand_l.STL,,Base-1,Coordinate System3,Axis17,basestand_j,fixed,0,0,0.562500000000001,0,0,0,base_link,0,0,0,,,,,,,,,,,,
adjustable_l,-1.48441065271839E-05,3.64342110244022E-07,0.421821185244988,0,0,0,1.76700528664102,0.0443516346684835,4.77152537675687E-08,1.12218257470024E-06,0.0382833805063431,-9.4401296458892E-08,0.00932869645001905,0,0,0,0,0,0,package://robotics_arm_v7/meshes/adjustable_l.STL,0.686274509803922,0.56078431372549,0.56078431372549,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/adjustable_l.STL,,Holder-1,Coordinate System3,Axis17,adjustable_j,fixed,0,0,0,0,0,0,basestand_l,0,0,0,10,0.5,-0.5,0.5,,,,,,,,
lsp_l,0.0008472892745299,-1.65859278289382E-06,0.0545119605018215,0,0,0,0.163554711632053,0.000303701327122371,-3.80886333967666E-09,-2.55461455337855E-06,0.000276110044119152,4.50631087708101E-09,0.00015435291467114,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lsp_l.STL,0.56078431372549,0.686274509803922,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lsp_l.STL,,LeftShoulderPitch-1,Coordinate System11,Axis7,lsp_j,revolute,0,0.13879999999999,0.500000000000004,-1.57079632679488,0.196913955723574,0,adjustable_l,0,0,1,10,3.142,-6.283,6.283,,,,,,,,
lsr_l,-0.00350810957841904,-0.0743126538855545,0.0273797873659373,0,0,0,0.157927176852261,0.000344643257463614,-5.52369329146358E-06,8.94627222076643E-07,0.000224109562566033,1.4082871810093E-05,0.00032812750917298,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lsr_l.STL,0.686274509803922,0.56078431372549,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lsr_l.STL,,LeftShoulderRoll-1,Coordinate System13,Axis9,lsr_j,revolute,0.029397125601635,0,0.0724657081179809,3.14159255362977,1.5707963267949,0,lsp_l,0,0,1,10,3.142,-3.665,3.665,,,,,,,,
lsy_l,-0.000246998724985903,-1.26444974421769E-05,0.0695078998277578,0,0,0,0.192129001604532,0.000525454804551651,-6.46883828984656E-08,2.27733709644982E-07,0.000491960354413494,1.73076489386585E-07,0.000211438383429421,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lsy_l.STL,0.56078431372549,0.686274509803922,0.56078431372549,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lsy_l.STL,,LeftShoulderYaw-1,Coordinate System14,Axis10,lsy_j,revolute,-0.00503334482929713,-0.108098588890029,0.0284656971171868,1.57079632678501,-0.103908881940915,-0.0465289418497155,lsr_l,0,0,1,10,3.142,-6.283,6.283,,,,,,,,
lel_l,-0.0114002435443972,0.0104873878092129,0.00675651006750111,0,0,0,0.0198133815117097,1.01325714310338E-05,8.62879615733268E-06,9.69361050606928E-07,1.15745798851329E-05,-8.91734812071478E-07,2.09399517171352E-05,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lel_l.STL,0.686274509803922,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lel_l.STL,,LeftElbowLink-1,Coordinate System15,Axis11,lel_j,continuous,-0.0255342917352893,0,0.0689657082647096,1.57079632688968,0.00211475301112716,-1.5707963222304,lsy_l,0,0,1,10,3.142,0,0,,,,,,,,
lep_l,0.16599536563429,0.381922857068731,-0.224382516734376,0,0,0,12.1101901577768,3.27099529190478,-0.478426463704338,0.016531559255096,0.561788677501424,0.034750880764506,3.23614937393567,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lep_l.STL,0.623529411764706,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lep_l.STL,,LeftElbowPitch-1,Coordinate System16,Axis12,lep_j,revolute,0,-0.000179760678019836,0.153965526240841,1.57079632646137,0.0938833059174607,-1.57079632679489,lsy_l,0,0,1,10,3.142,-1.222,1.222,,,,,,,,
ley_l,-0.00136892606456798,-2.85037648595221E-07,0.0560168643698046,0,0,0,0.203158109952786,0.000152640329329173,1.3114480727449E-09,1.05215941434409E-06,0.000131977479422575,-3.30070850991813E-10,0.00010402982094729,0,0,0,0,0,0,package://robotics_arm_v7/meshes/ley_l.STL,0.56078431372549,0.686274509803922,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/ley_l.STL,,LeftElbowYaw-1,Coordinate System17,Axis13,ley_j,revolute,0.136965708264701,0,0,0,1.5707963267949,0,lep_l,0,0,-1,10,3.142,-6.283,6.283,,,,,,,,
lw_l,0.052258899471289,0.0284704451462972,0.024323605508881,0,0,0,0.118265617272774,8.46716369530091E-05,-1.9518572747099E-05,5.31274570037223E-06,0.000118636381069233,2.89401933365049E-06,0.000112047371234625,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lw_l.STL,0.56078431372549,0.686274509803922,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lw_l.STL,,LeftWrist-1,Coordinate System18,Axis14,lw_j,revolute,-0.0248972213837098,0,0.0589657081521795,0.197028949770318,-1.57079630572147,2.94456369737188,ley_l,0,0,1,10,3.142,-3.665,3.665,,,,,,,,
