elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0095,2041,2051,2037,2048,2043,2049,2049,2075,2048,2048,2050,2049,2051
0.123,1996,2059,1863,2048,2043,2049,2047,2076,2048,2048,2050,2048,2053
0.2326,1983,2115,1540,2048,2043,2049,2046,2076,2048,2048,2050,2043,2055
0.3443,1979,2199,1287,2048,2043,2053,2027,2076,2048,2048,2050,2037,2055
0.454,1920,2346,1083,2050,2043,2071,1995,2076,2048,2048,2050,2034,2056
0.5634,1798,2518,973,2052,2043,2093,1978,2076,2048,2048,2050,2033,2056
0.673,1650,2692,967,2052,2043,2127,1962,2096,2048,2048,2050,2033,2056
0.7822,1526,2836,966,2052,2043,2173,1928,2175,2049,2048,2050,2030,2056
0.8914,1481,2929,954,2052,2043,2245,1879,2308,2049,2048,2050,2029,2056
1.0006,1469,2971,911,2052,2043,2326,1715,2447,2049,2048,2050,2025,2056
1.1104,1445,2972,897,2052,2043,2415,1479,2575,2049,2049,2050,2020,2056
1.2202,1418,2972,897,2052,2043,2514,1357,2662,2049,2053,2050,2014,2054
1.3296,1410,2973,897,2052,2043,2632,1310,2712,2049,2054,2050,2013,2054
1.4392,1409,2973,897,2052,2043,2726,1308,2735,2049,2054,2050,2009,2056
1.549,1409,2973,897,2052,2043,2756,1313,2773,2049,2055,2050,2005,2054
1.6588,1409,2971,897,2052,2043,2756,1363,2829,2049,2055,2050,2003,2056
1.7682,1409,2970,897,2052,2043,2755,1402,2856,2049,2055,2050,2001,2056
1.8774,1409,2970,897,2052,2043,2753,1414,2866,2049,2055,2050,1999,2056
1.9866,1409,2970,897,2052,2043,2746,1414,2871,2049,2055,2050,1996,2056
2.0978,1408,2970,897,2052,2043,2744,1414,2872,2049,2055,2050,1995,2057
2.2074,1408,2970,897,2052,2043,2743,1414,2873,2049,2055,2050,1995,2058
2.3168,1408,2970,897,2052,2043,2743,1414,2873,2049,2055,2050,1995,2059
2.4264,1407,2970,897,2052,2043,2741,1414,2873,2049,2055,2050,1993,2059
2.5356,1407,2970,897,2052,2043,2740,1410,2873,2049,2055,2050,1992,2059
2.6449,1406,2970,897,2052,2043,2739,1410,2873,2049,2055,2050,1992,2059
2.7548,1406,2970,897,2052,2043,2739,1410,2873,2049,2055,2050,1991,2059
2.8646,1406,2970,897,2052,2043,2739,1408,2873,2049,2055,2050,1991,2060
2.9746,1405,2970,897,2052,2043,2739,1408,2873,2049,2055,2050,1991,2060
3.0838,1402,2970,897,2052,2043,2721,1409,2873,2049,2055,2050,1985,2060
3.1934,1395,2970,897,2052,2043,2612,1431,2857,2049,2055,2050,1974,2058
3.3027,1395,2970,897,2052,2043,2468,1443,2732,2049,2055,2050,1969,2055
3.4122,1417,2960,897,2052,2043,2386,1469,2450,2049,2055,2050,1968,2054
3.5213,1513,2945,904,2052,2043,2340,1520,2220,2048,2055,2050,1972,2052
3.6306,1665,2842,970,2052,2043,2274,1626,2196,2048,2055,2050,1970,2050
3.741,1788,2660,1177,2049,2043,2203,1750,2196,2048,2055,2050,1968,2050
3.8506,1847,2539,1482,2048,2043,2150,1822,2196,2048,2055,2050,1969,2051
3.96,1887,2516,1780,2048,2043,2098,1840,2196,2044,2055,2050,1968,2052
4.0694,1936,2510,1950,2047,2043,2053,1841,2196,2044,2055,2050,1968,2051
4.1822,1996,2505,1959,2047,2043,2025,1841,2196,2044,2055,2050,1968,2051
4.2916,2029,2495,1959,2047,2043,2018,1841,2196,2044,2055,2050,1969,2050
4.4012,2032,2493,1959,2047,2043,2020,1841,2196,2044,2055,2050,1968,2048
4.5112,2032,2493,1959,2047,2043,2021,1841,2196,2046,2051,2050,1968,2048
4.6206,2032,2493,1959,2047,2043,2021,1841,2196,2046,2050,2050,1969,2048
4.7302,2032,2493,1959,2047,2043,2021,1841,2196,2046,2050,2050,1970,2048
4.8394,2032,2493,1959,2047,2043,2021,1841,2196,2046,2050,2050,1971,2048
4.9486,2032,2493,1959,2047,2043,2021,1841,2196,2046,2050,2050,1969,2048
