elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0094,2009,2272,1878,1943,1866,1956,2086,2303,2064,2022,2051,1931,2015
0.1186,2009,2269,1801,1810,1866,1956,2086,2361,2304,2023,2051,1931,2015
0.2344,2009,2268,1709,1539,1866,1956,2083,2429,2653,2030,2050,1934,1999
0.3438,2009,2270,1588,1211,1866,1956,2080,2525,2995,2032,2050,1957,1985
0.4536,2009,2273,1422,841,1866,1957,2072,2662,3291,2033,2050,1991,1983
0.5628,2009,2274,1233,460,1866,1957,2069,2829,3533,2032,2050,2027,1984
0.6722,1988,2276,1103,122,1866,1972,2069,2996,3740,2023,2050,2069,1984
0.7818,1950,2277,1058,3971,1866,2006,2071,3082,3917,2014,2050,2112,1984
0.8914,1893,2278,1036,3856,1866,2061,2073,3114,4006,1967,2050,2171,1982
1.001,1848,2280,1035,3852,1866,2140,2073,3117,4009,1917,2050,2196,1982
1.112,1825,2281,1035,3853,1866,2197,2074,3117,4009,1897,2050,2192,1959
1.2244,1816,2283,1035,3853,1866,2231,2071,3117,4008,1897,2050,2192,1958
1.3352,1809,2283,1035,3881,1867,2245,2071,3117,3969,1899,2050,2193,1962
1.4462,1809,2286,1037,4021,1867,2249,2070,3117,3790,1902,2050,2192,1964
1.5564,1802,2287,1053,209,1868,2249,2062,3117,3468,1903,2050,2193,1972
1.6668,1796,2287,1095,578,1868,2245,2058,3096,3071,1906,2050,2194,1974
1.7762,1788,2286,1149,1006,1868,2248,2060,3039,2631,1907,2050,2194,1970
1.8854,1785,2280,1206,1453,1868,2266,2070,2984,2174,1908,2050,2193,1970
1.9946,1784,2270,1268,1898,1868,2275,2083,2910,1718,1908,2050,2185,1970
2.104,1797,2252,1367,2318,1868,2258,2097,2814,1286,1908,2050,2163,1971
2.2138,1804,2223,1505,2665,1868,2232,2109,2719,940,1908,2050,2140,1969
2.3234,1805,2193,1621,2914,1868,2209,2113,2664,744,1908,2050,2108,1973
2.4334,1813,2190,1700,3045,1868,2177,2112,2628,733,1914,2050,2076,1972
2.5432,1835,2190,1757,3084,1868,2148,2102,2559,727,1964,2050,2046,1973
2.6524,1865,2190,1800,3090,1868,2121,2098,2494,726,2010,2050,2019,1970
2.7616,1903,2190,1829,3085,1868,2091,2097,2445,726,2016,2050,1992,1967
2.871,1946,2190,1847,3084,1868,2057,2097,2407,731,2016,2050,1974,1963
2.988,1991,2186,1868,3083,1868,2014,2097,2375,733,2016,2050,1963,1962
3.0976,2020,2156,1894,3072,1868,1969,2100,2361,737,2017,2050,1949,1961
3.207,2025,1989,1951,2950,1868,1936,2106,2339,816,2019,2050,1934,1959
3.3164,2025,1797,2008,2699,1868,1917,2112,2308,1094,2024,2050,1933,1963
3.4258,2026,1778,2048,2413,1868,1902,2113,2300,1533,2039,2050,1933,1964
3.5352,2036,1778,2054,2198,1868,1896,2106,2298,1969,2043,2050,1933,1963
3.6444,2041,1783,2054,2154,1868,1896,2078,2294,2298,2043,2050,1933,1964
3.7544,2041,1784,2054,2161,1868,1896,2063,2291,2370,2044,2050,1933,1963
3.8642,2041,1784,2054,2161,1868,1896,2063,2291,2367,2044,2050,1933,1962
3.9766,2041,1784,2054,2160,1868,1898,2065,2291,2368,2044,2050,1933,1960
4.0863,2041,1784,2054,2160,1868,1901,2067,2291,2368,2044,2050,1933,1959
4.1956,2041,1784,2054,2160,1868,1901,2068,2291,2368,2044,2050,1933,1959
4.3048,2041,1784,2054,2160,1868,1901,2068,2291,2368,2044,2050,1933,1959
4.4144,2041,1784,2054,2160,1868,1901,2068,2291,2369,2044,2050,1933,1959
4.5238,2041,1784,2054,2160,1868,1901,2068,2291,2369,2044,2050,1933,1959
4.6334,2041,1784,2054,2160,1868,1901,2068,2291,2369,2044,2050,1933,1959
4.752,2041,1784,2054,2160,1868,1901,2068,2291,2369,2044,2050,1933,1959
