elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0102,2108,1982,1858,1970,1836,1951,2409,2291,2052,2109,2050,1933,2085
0.1193,2086,1982,1852,1967,1836,1973,2419,2291,2052,2109,2050,1933,2088
0.2289,2010,1982,1800,1967,1836,2049,2464,2333,2052,2109,2050,1933,2090
0.3383,1911,1982,1703,1967,1835,2134,2496,2473,2052,2113,2050,1940,2086
0.4475,1806,1992,1589,1967,1835,2215,2502,2672,2052,2118,2050,1963,2078
0.5571,1723,2026,1474,1967,1822,2302,2480,2812,2052,2119,2050,1993,2075
0.6702,1673,2082,1362,1967,1783,2379,2390,2902,2052,2119,2050,2037,2073
0.7795,1636,2141,1254,1967,1782,2439,2225,2954,2052,2119,2050,2068,2073
0.8891,1605,2164,1162,1967,1782,2476,2061,2978,2052,2119,2050,2071,2073
0.9987,1593,2169,1123,1967,1782,2480,1965,2991,2052,2119,2050,2049,2074
1.1081,1598,2184,1121,1967,1781,2465,1942,2993,2052,2119,2050,2009,2081
1.2179,1644,2268,1120,1967,1776,2405,1942,2993,2052,2120,2050,1957,2087
1.3275,1685,2352,1119,1967,1776,2358,1937,2993,2052,2120,2050,1941,2088
1.4369,1653,2351,1110,1967,1776,2392,1938,2993,2052,2120,2050,1956,2089
1.5463,1611,2351,1108,1967,1776,2431,1934,2993,2052,2120,2050,1980,2086
1.6557,1602,2350,1108,1967,1776,2431,1932,2993,2052,2120,2050,2008,2080
1.7653,1579,2251,1108,1968,1780,2420,1931,2993,2052,2122,2050,2031,2075
1.8745,1536,1907,1115,1970,1784,2402,1910,2993,2052,2166,2050,2046,2069
1.9845,1526,1605,1124,1971,1784,2367,1874,2993,2052,2248,2050,2059,2067
2.0943,1525,1510,1126,1971,1784,2343,1852,2993,2052,2283,2050,2074,2063
2.2041,1533,1448,1130,1971,1785,2340,1855,2993,2052,2283,2050,2072,2070
2.3135,1602,1398,1211,1972,1785,2340,1856,2993,2052,2283,2050,2035,2083
2.4261,1617,1398,1227,1972,1785,2340,1855,2993,2052,2283,2050,2001,2099
2.5353,1538,1396,1215,1972,1785,2340,1856,2993,2052,2283,2050,1983,2124
2.6453,1545,1390,1223,1972,1785,2340,1856,2993,2052,2283,2050,1977,2159
2.7601,1622,1390,1251,1972,1785,2339,1855,2993,2052,2283,2050,1977,2193
2.8697,1626,1390,1247,1972,1785,2339,1852,2993,2052,2283,2050,1982,2217
2.9794,1581,1376,1238,1972,1785,2339,1852,2993,2052,2283,2050,1983,2234
3.0881,1611,1358,1243,1972,1785,2339,1852,2993,2052,2283,2050,1983,2235
