elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.011,1951,2523,1973,2276,1921,2026,1910,2311,2051,2109,2050,1933,2002
0.1211,1951,2523,1943,2276,1921,2031,1909,2311,2050,2109,2050,1933,2002
0.2314,1951,2523,1800,2276,1921,2084,1899,2311,2051,2109,2050,1933,2003
0.3421,1945,2520,1615,2275,1922,2161,1900,2346,2051,2108,2050,1938,2003
0.452,1910,2520,1467,2275,1922,2229,1903,2461,2052,2108,2050,1974,2013
0.5622,1845,2520,1389,2275,1922,2274,1903,2607,2053,2109,2050,2033,2037
0.672,1767,2520,1346,2275,1922,2312,1898,2733,2053,2109,2050,2086,2051
0.7814,1689,2522,1271,2275,1922,2378,1878,2853,2053,2109,2050,2120,2047
0.8906,1604,2521,1122,2275,1923,2483,1868,2936,2053,2108,2050,2161,2049
0.9998,1510,2518,1020,2275,1925,2600,1858,3000,2053,2108,2050,2194,2046
1.1096,1420,2524,994,2275,1948,2691,1835,3050,2053,2108,2050,2187,2021
1.219,1348,2535,992,2275,1990,2731,1750,3082,2053,2108,2050,2189,2023
1.3288,1317,2580,985,2275,1994,2744,1701,3098,2052,2108,2050,2189,2025
1.4384,1321,2626,973,2275,1997,2745,1702,3100,2052,2106,2050,2190,2030
1.548,1327,2638,966,2275,1997,2745,1708,3100,2052,2106,2050,2190,2030
1.6574,1328,2638,966,2275,1997,2745,1708,3100,2052,2106,2050,2191,2030
1.7664,1328,2638,966,2275,1997,2745,1708,3100,2052,2106,2050,2191,2027
1.8756,1328,2638,966,2275,1998,2745,1708,3100,2052,2106,2050,2191,2027
1.9848,1329,2638,966,2275,1999,2745,1708,3100,2052,2106,2050,2190,2027
2.0946,1330,2638,966,2275,1999,2745,1713,3100,2052,2106,2050,2190,2026
2.2042,1330,2638,966,2275,1999,2745,1714,3100,2052,2106,2050,2189,2026
2.313,1330,2638,966,2275,1999,2745,1714,3100,2052,2106,2050,2190,2025
2.4224,1344,2636,966,2275,1999,2729,1723,3100,2052,2107,2050,2188,2022
2.5318,1440,2636,977,2275,1999,2615,1746,3100,2052,2108,2050,2182,2030
2.6416,1598,2635,1045,2275,1994,2421,1790,3063,2052,2116,2050,2183,2034
2.7532,1746,2634,1187,2278,1994,2263,1847,2975,2049,2118,2050,2162,2023
2.863,1818,2627,1404,2279,1997,2178,1879,2851,2047,2118,2050,2108,2007
2.9722,1834,2623,1611,2279,1999,2125,1925,2690,2046,2118,2050,2040,1996
3.0816,1851,2623,1788,2277,1998,2100,1950,2540,2046,2118,2050,1977,1995
3.191,1900,2623,1900,2276,1996,2068,1946,2416,2046,2118,2052,1929,1988
3.3004,1948,2623,1911,2276,1996,2015,1965,2355,2046,2109,2050,1931,1998
3.4091,1962,2623,1911,2276,1996,1984,1982,2355,2046,2109,2050,1931,2001
3.5186,1963,2623,1911,2276,1996,1980,1979,2355,2046,2109,2050,1931,2002
3.628,1963,2623,1911,2276,1996,1980,1981,2355,2046,2109,2050,1931,2003
3.7374,1964,2623,1911,2278,1996,1980,1983,2355,2047,2109,2050,1931,2000
3.8466,1964,2623,1911,2278,1996,1980,1981,2355,2047,2109,2050,1931,1996
3.9554,1964,2623,1911,2277,1996,1980,1979,2355,2047,2109,2050,1931,1993
4.0654,1964,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1993
4.1752,1965,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
4.2851,1971,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
4.3955,1984,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
4.5113,1999,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
4.6208,2011,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
4.7304,2014,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
4.8399,2014,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
4.9496,2014,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
5.059,2014,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
5.1688,2014,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
5.284,2014,2623,1911,2276,1996,1980,1979,2355,2047,2109,2050,1931,1992
