elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0176,2102,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2151,2053
0.1264,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2156,2053
0.2356,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2157,2053
0.3437,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
0.4529,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
0.5617,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
0.67,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
0.7805,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
0.889,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
0.9983,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
1.1076,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
1.2175,2101,2357,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
1.3271,2090,2355,1942,1891,2039,2049,2050,2074,2048,2053,2050,2158,2053
1.436,1999,2330,1909,1891,2039,2049,2050,2074,2048,2053,2050,2158,2049
1.5441,1868,2293,1815,1892,2039,2049,2050,2074,2048,2053,2050,2158,2053
1.6529,1732,2277,1701,1896,2039,2049,2050,2074,2048,2053,2050,2158,2053
1.7696,1580,2272,1632,1898,2039,2049,2050,2074,2048,2053,2050,2158,2050
1.8794,1450,2272,1609,1899,2039,2049,2050,2074,2048,2053,2050,2158,2053
1.9888,1352,2272,1578,1904,2039,2049,2050,2074,2048,2053,2050,2161,2050
2.0986,1269,2272,1537,1958,2039,2049,2050,2074,2048,2053,2050,2161,2053
2.2067,1185,2272,1484,2066,2039,2049,2050,2074,2048,2053,2050,2163,2050
2.3161,1105,2272,1436,2203,2039,2049,2050,2074,2048,2053,2050,2163,2053
2.4265,1027,2278,1395,2337,2039,2049,2050,2074,2048,2053,2050,2163,2053
2.5349,986,2372,1330,2439,2039,2049,2050,2074,2048,2053,2050,2163,2054
2.6447,983,2582,1244,2481,2039,2049,2050,2074,2048,2053,2050,2163,2054
2.7532,977,2773,1184,2487,2039,2049,2050,2074,2048,2053,2050,2163,2052
2.8624,948,2807,1179,2488,2039,2049,2050,2074,2048,2053,2050,2163,2054
2.9715,910,2713,1181,2488,2039,2049,2050,2074,2048,2053,2050,2163,2052
3.0813,910,2445,1205,2489,2039,2049,2050,2074,2048,2053,2050,2163,2052
3.1895,921,2117,1240,2490,2039,2049,2050,2074,2048,2053,2050,2163,2053
3.2976,943,1922,1246,2490,2039,2049,2050,2074,2048,2053,2050,2163,2052
3.4056,952,1961,1246,2490,2039,2049,2050,2074,2048,2053,2050,2163,2050
3.5183,945,2187,1246,2490,2039,2049,2050,2074,2048,2053,2050,2163,2055
3.6278,931,2459,1246,2490,2039,2049,2050,2074,2048,2053,2050,2163,2053
3.7373,918,2708,1240,2490,2039,2049,2050,2074,2048,2053,2050,2163,2054
3.8469,913,2901,1208,2490,2039,2049,2050,2074,2048,2053,2050,2163,2055
3.9555,913,2890,1203,2490,2039,2049,2050,2074,2048,2053,2050,2163,2055
4.0643,913,2686,1205,2490,2039,2049,2050,2074,2048,2053,2050,2163,2050
4.1762,915,2381,1212,2490,2039,2049,2050,2074,2048,2053,2050,2163,2054
4.2845,922,2094,1221,2490,2039,2049,2050,2074,2048,2053,2050,2163,2054
4.3944,934,1917,1227,2490,2039,2049,2050,2074,2048,2053,2050,2163,2050
4.5059,936,1985,1230,2490,2039,2049,2050,2074,2048,2053,2050,2163,2053
4.6146,930,2280,1230,2490,2039,2049,2050,2074,2048,2053,2050,2163,2054
4.7272,925,2551,1230,2490,2039,2049,2050,2074,2048,2053,2050,2163,2051
4.8365,916,2619,1231,2483,2039,2049,2050,2074,2048,2053,2050,2163,2054
4.9459,931,2590,1248,2464,2039,2049,2050,2074,2048,2053,2050,2163,2053
5.0548,965,2553,1299,2326,2039,2049,2050,2074,2048,2053,2050,2163,2051
5.1665,1013,2523,1349,2064,2039,2049,2050,2074,2048,2053,2050,2163,2054
5.2748,1085,2523,1394,1759,2039,2049,2050,2074,2048,2053,2050,2163,2054
5.383,1188,2523,1448,1533,2039,2049,2050,2074,2048,2053,2050,2163,2053
5.4919,1319,2523,1512,1485,2039,2049,2050,2074,2048,2053,2050,2163,2054
5.601,1452,2523,1563,1528,2039,2049,2050,2074,2048,2053,2050,2163,2055
5.7103,1581,2523,1588,1596,2039,2049,2050,2074,2048,2053,2050,2163,2051
5.8182,1706,2520,1620,1652,2039,2049,2050,2074,2048,2053,2050,2163,2054
5.9283,1808,2499,1670,1662,2039,2049,2050,2074,2048,2053,2050,2163,2052
6.0369,1888,2424,1725,1662,2039,2049,2050,2074,2048,2053,2050,2163,2054
6.1473,1941,2309,1788,1661,2039,2049,2050,2074,2048,2053,2050,2163,2053
6.2573,1985,2201,1841,1661,2039,2049,2050,2074,2048,2053,2050,2163,2053
6.3661,2044,2126,1858,1661,2039,2049,2050,2074,2048,2053,2050,2163,2052
6.4746,2090,2096,1860,1661,2039,2049,2050,2074,2048,2053,2050,2163,2053
6.5828,2112,2091,1860,1661,2039,2049,2050,2074,2048,2053,2050,2163,2052
6.6918,2124,2091,1860,1661,2039,2049,2050,2074,2048,2053,2050,2163,2054
6.8008,2125,2091,1860,1661,2039,2049,2050,2074,2048,2053,2050,2163,2052
6.9095,2125,2091,1860,1661,2039,2049,2050,2074,2048,2053,2050,2163,2054
