elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0101,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1947,2046
0.1197,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1936,2041
0.2295,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1936,2043
0.3397,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1936,2043
0.4491,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1936,2045
0.5585,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1936,2045
0.6681,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1936,2041
0.7777,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1936,2044
0.889,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1952,2046
0.9993,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1997,2046
1.1151,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2075,2046
1.2244,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2155,2046
1.3345,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2198,2046
1.4444,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2188,2049
1.5539,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2145,2047
1.6633,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2080,2047
1.7727,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2010,2049
1.8823,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1945,2050
1.9917,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2051,1932,2049
2.101,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1953,2051
2.2107,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2016,2058
2.3254,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2084,2059
2.4351,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2134,2059
2.5446,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2167,2059
2.6568,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2174,2059
2.7661,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2155,2059
2.8757,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2104,2055
2.985,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,2040,2054
3.0961,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1993,2058
3.206,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1973,2058
3.3153,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1971,2052
3.4245,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1968,2029
3.5338,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1960,1984
3.6433,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1951,1930
3.7532,2026,2625,1909,2276,1997,1977,1978,2368,2048,2111,2050,1946,1866
