elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0095,2052,2049,2042,2048,2043,2049,2050,2074,2048,2053,2051,2051,2050
0.1176,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2053,2050
0.2256,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2056,2050
0.3353,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2065,2048
0.4442,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2104,2045
0.5522,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2154,2045
0.6603,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2170,2034
0.7727,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2171,1998
0.8811,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2174,1962
0.9903,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2174,1925
1.1004,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2174,1877
1.2094,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2174,1819
1.3177,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2174,1779
1.4267,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2174,1777
1.5356,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2051,2174,1777
1.6451,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2052,2174,1777
1.7547,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2055,2174,1777
1.8626,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2056,2173,1777
1.9705,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2056,2171,1777
2.0806,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,2087,1777
2.1892,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1981,1777
2.298,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1947,1777
2.4077,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1947,1777
2.5179,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1947,1777
2.6274,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1945,1777
2.7372,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1945,1777
2.8472,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1945,1777
2.9565,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1942,1778
3.0657,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1933,1818
3.1735,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1932,1941
3.2833,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2066,1932,2098
3.3933,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,1933,2215
3.5029,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,1935,2255
3.6127,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,1936,2257
3.7214,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,1936,2257
3.8307,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,1936,2257
3.9419,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,1936,2257
4.0509,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,1937,2255
4.1601,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,1956,2254
4.269,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2001,2251
4.3771,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2027,2250
4.4862,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2048,2250
4.5964,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2070,2249
4.7055,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2077,2243
4.8145,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2090,2233
4.9256,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2097,2227
5.0338,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2101,2221
5.1431,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2106,2199
5.2527,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2118,1987
5.3629,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2127,1811
5.4727,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2127,1801
5.5807,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2126,1799
5.689,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2126,1799
5.7971,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2126,1798
5.9057,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2126,1798
6.0169,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2125,1798
6.1261,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2124,1801
6.2355,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2077,1818
6.3453,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,2013,1846
6.4549,2052,2048,2042,2048,2043,2049,2050,2074,2048,2053,2065,1969,1886
