elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0101,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
0.1197,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
0.2297,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
0.3398,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
0.4501,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
0.56,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
0.6697,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
0.779,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
0.8884,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
0.9981,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
1.1077,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
1.2173,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
1.3268,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
1.4365,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
1.5461,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
1.6553,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
1.7652,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
1.875,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
1.9844,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
2.094,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
2.2073,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
2.3166,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
2.4261,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
2.543,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
2.6524,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
2.7621,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
2.8717,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
2.9851,2016,2049,2042,2052,2046,2065,2047,2070,2048,2051,2055,1932,2061
