elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0088,2103,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2151,1858
0.1182,2101,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
0.2274,2101,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
0.3355,2101,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
0.4448,2101,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
0.5527,2101,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
0.6625,2101,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
0.7746,2101,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
0.8831,2101,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
0.9922,2101,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
1.1005,2085,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
1.2093,2023,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
1.3187,1923,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
1.4268,1809,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
1.5358,1704,1953,1900,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
1.6447,1624,1953,1898,2046,1912,2043,2050,2074,2048,2053,2050,2152,1858
1.753,1584,1953,1873,2046,1912,2043,2050,2074,2048,2053,2050,2152,1857
1.8623,1590,1960,1766,2046,1912,2043,2050,2074,2048,2053,2050,2155,1857
1.9723,1599,1965,1609,2046,1912,2043,2050,2074,2048,2053,2050,2161,1856
2.0816,1605,1967,1417,2046,1912,2043,2050,2074,2048,2053,2050,2162,1856
2.1902,1609,1992,1227,2046,1912,2043,2050,2074,2048,2053,2050,2162,1856
2.2994,1609,2008,1177,2046,1912,2043,2050,2074,2048,2053,2050,2162,1856
2.4098,1611,2011,1280,2046,1912,2043,2050,2074,2048,2053,2050,2162,1856
2.5221,1608,2011,1490,2046,1912,2043,2050,2074,2048,2053,2050,2162,1857
2.6328,1607,2011,1672,2046,1912,2043,2050,2074,2048,2053,2050,2161,1857
2.7414,1609,2011,1652,2046,1912,2043,2050,2074,2048,2053,2050,2162,1856
2.8503,1609,2011,1487,2046,1912,2043,2050,2074,2048,2053,2050,2160,1856
2.9592,1608,2018,1282,2046,1912,2043,2050,2074,2048,2053,2050,2160,1856
3.0681,1608,2022,1198,2046,1912,2043,2050,2074,2048,2053,2050,2160,1856
3.177,1609,2027,1265,2046,1912,2043,2050,2074,2048,2053,2050,2161,1856
3.286,1605,2028,1434,2046,1912,2043,2050,2074,2048,2053,2050,2160,1858
3.3944,1603,2028,1565,2046,1912,2043,2050,2074,2048,2053,2050,2159,1857
3.5024,1600,2028,1542,2046,1912,2043,2050,2074,2048,2053,2050,2159,1857
3.6107,1600,2031,1411,2046,1912,2043,2050,2074,2048,2053,2050,2159,1856
3.7208,1600,2043,1238,2046,1912,2043,2050,2074,2048,2053,2050,2159,1856
3.8306,1599,2053,1143,2046,1912,2043,2050,2074,2048,2053,2050,2159,1856
3.9392,1600,2055,1182,2046,1912,2043,2050,2074,2048,2053,2050,2159,1857
4.0479,1599,2055,1333,2046,1912,2043,2050,2074,2048,2053,2050,2158,1859
4.1565,1597,2055,1536,2046,1912,2043,2050,2074,2048,2053,2050,2158,1859
4.2653,1597,2055,1612,2046,1912,2043,2050,2074,2048,2053,2050,2158,1857
4.3742,1594,2055,1525,2046,1912,2043,2050,2074,2048,2053,2050,2158,1856
4.4829,1593,2056,1330,2047,1912,2043,2050,2074,2048,2053,2050,2158,1856
4.5915,1593,2069,1172,2046,1912,2043,2050,2074,2048,2053,2050,2158,1856
4.7004,1594,2074,1164,2046,1912,2043,2050,2074,2048,2053,2050,2158,1856
4.8083,1595,2074,1256,2046,1912,2043,2050,2074,2048,2053,2050,2158,1857
4.9172,1593,2074,1435,2046,1912,2043,2050,2074,2048,2053,2050,2157,1858
5.0265,1593,2074,1559,2046,1912,2043,2050,2074,2048,2053,2050,2157,1857
5.1356,1591,2074,1561,2046,1912,2043,2050,2074,2048,2053,2050,2157,1857
5.2445,1591,2074,1561,2046,1912,2043,2050,2074,2048,2053,2050,2154,1858
5.3551,1591,2074,1561,2046,1912,2043,2050,2074,2048,2053,2050,2154,1857
5.4644,1594,2074,1561,2046,1912,2043,2050,2074,2048,2053,2050,2154,1859
5.5737,1601,2074,1561,2046,1912,2043,2050,2074,2048,2053,2050,2152,1861
5.6827,1634,2073,1562,2046,1912,2043,2050,2074,2048,2053,2050,2149,1861
5.7909,1680,2071,1576,2046,1912,2043,2050,2074,2048,2053,2050,2151,1861
5.9012,1782,2071,1579,2046,1912,2043,2050,2074,2048,2053,2050,2160,1861
6.0105,1919,2071,1579,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
6.1184,2058,2071,1579,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
6.2273,2160,2071,1582,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
6.3376,2207,2071,1615,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
6.4475,2209,2071,1641,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
6.5559,2209,2071,1641,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
6.6638,2209,2071,1641,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
6.7741,2209,2074,1664,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
6.8837,2202,2075,1735,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
6.9927,2194,2075,1807,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
7.1013,2189,2075,1829,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
7.2108,2188,2075,1829,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
7.3189,2188,2075,1829,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
7.4289,2188,2075,1829,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
7.5383,2188,2075,1829,2046,1912,2043,2050,2074,2048,2053,2050,2160,1857
