elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0098,2051,2051,2041,2047,2039,2049,2050,2073,2048,2053,2050,2051,2050
0.1184,2051,2051,2041,2047,2039,2049,2050,2074,2048,2053,2050,2055,2050
0.2278,2051,2051,2041,2047,2039,2049,2050,2074,2048,2053,2050,2058,2051
0.3384,2051,2051,2041,2047,2039,2049,2050,2074,2048,2053,2050,2065,2051
0.4476,2045,2051,2040,2048,2039,2049,2050,2074,2048,2053,2050,2084,2048
0.5558,1997,2051,2033,2049,2039,2049,2050,2074,2048,2053,2050,2117,2043
0.664,1915,2051,2007,2050,2039,2049,2050,2074,2048,2053,2050,2149,2036
0.7726,1815,2051,1969,2050,2039,2049,2050,2074,2048,2053,2050,2162,2021
0.8804,1708,2051,1914,2049,2039,2049,2050,2074,2048,2053,2050,2163,2011
0.9897,1600,2051,1842,2046,2038,2049,2050,2074,2048,2053,2050,2163,2007
1.1063,1486,2051,1755,2046,2000,2049,2050,2074,2048,2053,2050,2163,1995
1.2158,1405,2051,1651,2046,1936,2049,2050,2074,2048,2053,2050,2163,1979
1.3238,1352,2051,1552,2046,1887,2049,2050,2074,2048,2053,2050,2163,1956
1.4336,1325,2052,1472,2046,1848,2049,2050,2074,2048,2053,2050,2163,1915
1.5426,1325,2101,1414,2046,1759,2049,2050,2074,2048,2053,2050,2163,1844
1.6511,1331,2219,1370,2045,1635,2049,2050,2074,2048,2053,2050,2163,1770
1.7611,1333,2324,1340,2045,1586,2049,2050,2074,2048,2053,2050,2163,1764
1.8692,1334,2386,1324,2045,1588,2049,2050,2074,2048,2053,2050,2159,1764
1.9803,1337,2399,1319,2045,1588,2049,2050,2074,2048,2053,2050,2157,1764
2.093,1338,2399,1319,2045,1590,2049,2050,2074,2048,2053,2050,2157,1764
2.2036,1344,2383,1319,2050,1594,2049,2050,2074,2048,2053,2050,2161,1788
2.3136,1351,2281,1319,2051,1594,2049,2050,2074,2048,2053,2050,2161,1917
2.4231,1357,2110,1319,2052,1595,2049,2050,2074,2048,2053,2050,2163,2027
2.5311,1360,1971,1319,2054,1596,2049,2050,2074,2048,2053,2050,2165,2115
2.6408,1362,1828,1319,2094,1627,2049,2050,2074,2048,2053,2050,2168,2178
2.7506,1359,1660,1319,2246,1793,2049,2050,2074,2048,2053,2050,2170,2216
2.8587,1358,1556,1319,2497,2131,2049,2050,2074,2048,2053,2050,2171,2242
2.9677,1366,1552,1319,2727,2264,2049,2050,2074,2048,2053,2050,2174,2287
3.0772,1372,1550,1311,2841,2244,2049,2050,2074,2048,2053,2050,2174,2304
3.1864,1372,1550,1304,2839,2244,2049,2050,2074,2048,2053,2050,2173,2306
3.2963,1372,1550,1302,2837,2244,2049,2050,2074,2048,2053,2050,2171,2306
3.4061,1372,1550,1301,2837,2243,2049,2050,2074,2048,2053,2050,2171,2306
3.5153,1373,1550,1301,2837,2243,2049,2050,2074,2048,2053,2050,2172,2306
3.6246,1377,1590,1301,2837,2219,2049,2050,2074,2048,2053,2050,2174,2237
3.733,1400,1769,1301,2837,1985,2049,2050,2074,2048,2053,2050,2174,2053
3.8445,1407,1973,1301,2835,1597,2049,2050,2074,2048,2053,2050,2170,1895
3.9538,1397,2015,1301,2778,1594,2049,2050,2074,2048,2053,2050,2159,1826
4.0619,1393,2028,1301,2636,1588,2049,2050,2074,2048,2053,2050,2156,1793
4.1705,1390,2031,1301,2483,1588,2049,2050,2074,2048,2053,2050,2156,1785
4.2804,1390,2042,1301,2381,1588,2049,2050,2074,2048,2053,2050,2155,1785
4.3887,1390,2045,1299,2351,1588,2049,2050,2074,2048,2053,2050,2155,1785
4.4985,1390,2045,1296,2348,1588,2049,2050,2074,2048,2053,2050,2155,1785
4.6072,1390,2046,1296,2347,1588,2049,2050,2074,2048,2053,2050,2155,1783
4.7165,1390,2043,1292,2352,1591,2049,2050,2074,2048,2053,2050,2157,1795
4.8256,1390,1961,1255,2354,1685,2049,2050,2074,2048,2053,2050,2167,1963
4.9335,1396,1827,1249,2354,1977,2049,2050,2074,2048,2053,2050,2166,2165
5.0436,1419,1786,1249,2353,2209,2049,2050,2074,2048,2053,2050,2167,2298
5.1535,1432,1785,1249,2353,2218,2049,2050,2074,2048,2053,2050,2166,2302
5.2642,1432,1784,1249,2353,2218,2049,2050,2074,2048,2053,2050,2166,2302
5.3729,1431,1784,1248,2353,2218,2049,2050,2074,2048,2053,2050,2166,2302
5.4821,1431,1781,1248,2353,2218,2049,2050,2074,2048,2053,2050,2166,2302
5.5914,1467,1788,1290,2352,2211,2049,2050,2074,2048,2053,2050,2167,2301
5.7,1583,1802,1395,2351,2143,2049,2050,2074,2048,2053,2050,2168,2301
5.8095,1741,1833,1451,2352,2014,2049,2050,2074,2048,2053,2050,2169,2258
5.9188,1903,1836,1463,2352,1846,2049,2050,2074,2048,2053,2050,2169,2213
6.029,2063,1836,1499,2348,1790,2049,2050,2074,2048,2053,2050,2167,2178
