elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0111,2050,2051,2041,2052,2052,2050,2050,2078,2046,2049,2050,2048,2050
0.1213,2050,2051,2041,2052,2052,2050,2049,2079,2046,2049,2050,2025,2050
0.2291,2050,2051,2041,2052,2052,2050,2049,2079,2046,2049,2050,1967,2050
0.3384,2050,2051,2041,2052,2052,2050,2049,2079,2046,2049,2050,1924,2048
0.4477,2051,2051,2041,2052,2052,2050,2049,2079,2046,2049,2050,1923,2051
0.5555,2048,2051,2040,2052,2052,2054,2049,2079,2046,2049,2050,1923,2051
0.6635,2023,2051,1988,2052,2052,2084,2051,2082,2046,2049,2050,1923,2049
0.7734,1960,2051,1821,2052,2052,2143,2051,2160,2046,2049,2050,1923,2050
0.8833,1866,2051,1643,2052,2052,2213,2048,2356,2046,2049,2050,1923,2053
0.9915,1745,2051,1482,2052,2052,2298,2050,2597,2046,2049,2050,1923,2052
1.1003,1611,2054,1402,2052,2052,2400,2091,2742,2046,2049,2050,1923,2053
1.2099,1470,2141,1365,2052,2052,2513,2183,2793,2046,2049,2050,1923,2053
1.3203,1344,2413,1364,2052,2052,2639,2336,2796,2046,2049,2050,1923,2053
1.4282,1251,2725,1364,2052,2052,2759,2536,2796,2046,2049,2050,1923,2053
1.5367,1182,2869,1356,2052,2052,2832,2709,2796,2046,2049,2050,1923,2053
1.6448,1102,2904,1345,2052,2052,2861,2818,2796,2046,2049,2050,1923,2053
1.7539,1034,2948,1345,2052,2052,2876,2841,2796,2046,2049,2050,1923,2053
1.8627,1012,2991,1345,2052,2052,2890,2839,2796,2046,2049,2050,1923,2053
1.9726,1012,3000,1345,2052,2052,2891,2838,2796,2046,2049,2050,1923,2053
2.0815,1012,3001,1345,2052,2052,2891,2831,2796,2046,2049,2050,1923,2053
2.1897,1011,3001,1345,2052,2052,2893,2756,2796,2046,2049,2050,1923,2053
2.2997,994,2956,1344,2052,2052,2907,2545,2796,2046,2049,2050,1923,2053
2.408,950,2727,1344,2052,2052,2937,2234,2796,2046,2049,2050,1923,2052
2.5181,911,2320,1344,2052,2052,2978,1915,2796,2046,2049,2050,1923,2054
2.6277,894,1900,1344,2052,2052,3017,1576,2796,2046,2049,2050,1923,2052
2.7369,897,1583,1344,2052,2052,3044,1268,2796,2046,2049,2050,1923,2051
2.8452,921,1409,1344,2052,2052,3053,1135,2796,2046,2049,2050,1923,2054
2.9533,942,1396,1344,2052,2052,3069,1134,2796,2046,2049,2050,1923,2054
3.0624,943,1396,1344,2052,2052,3076,1136,2796,2046,2049,2050,1923,2054
3.1737,945,1397,1345,2052,2052,3074,1140,2796,2046,2049,2050,1923,2053
3.2835,981,1420,1378,2052,2052,3044,1235,2796,2046,2049,2050,1923,2054
3.3933,1111,1505,1449,2052,2052,2918,1514,2795,2046,2049,2050,1923,2055
3.5027,1351,1656,1522,2052,2052,2689,1741,2762,2045,2049,2050,1923,2054
3.6126,1640,1789,1601,2052,2052,2420,1938,2694,2045,2049,2050,1923,2054
3.7219,1885,1804,1727,2052,2052,2197,2088,2566,2045,2049,2050,1923,2055
3.8305,2043,1804,1835,2052,2052,2052,2136,2432,2045,2049,2050,1923,2052
3.9394,2156,1805,1859,2052,2052,1956,2144,2355,2046,2049,2050,1923,2049
4.0477,2209,1809,1871,2052,2052,1937,2158,2336,2048,2049,2050,1922,2048
4.157,2231,1809,1886,2052,2052,1925,2227,2327,2049,2049,2050,1922,2054
4.2662,2231,1809,1886,2052,2052,1925,2239,2327,2049,2049,2050,1922,2049
4.3756,2225,1809,1886,2052,2052,1925,2239,2327,2049,2049,2050,1922,2054
4.4843,2220,1809,1886,2052,2052,1925,2238,2327,2049,2049,2050,1922,2055
4.5926,2213,1809,1886,2052,2052,1926,2239,2326,2048,2049,2050,1922,2055
4.7005,2211,1809,1886,2052,2052,1926,2240,2326,2047,2049,2050,1922,2052
4.8096,2211,1809,1886,2052,2052,1926,2238,2326,2046,2049,2050,1922,2054
4.9184,2211,1809,1886,2052,2052,1926,2238,2326,2046,2049,2050,1922,2055
5.0271,2211,1809,1886,2052,2052,1927,2238,2326,2046,2049,2050,1922,2055
5.1365,2211,1809,1886,2052,2052,1927,2238,2326,2046,2049,2050,1922,2055
5.2444,2211,1809,1886,2052,2052,1927,2238,2326,2046,2049,2050,1922,2055
5.353,2211,1809,1886,2052,2052,1927,2238,2326,2046,2049,2050,1922,2055
5.4618,2211,1809,1886,2052,2052,1927,2238,2326,2046,2049,2050,1922,2055
5.5707,2211,1809,1886,2052,2052,1927,2238,2326,2046,2049,2050,1922,2055
5.6798,2211,1809,1886,2052,2052,1927,2238,2326,2046,2049,2050,1922,2055
