elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
0.0102,2044,2051,2037,2047,2039,2054,2052,2074,2049,2056,2050,2048,2051
0.1196,2037,2049,1908,2045,1991,2069,2070,2139,2049,2091,2050,2044,2053
0.2292,2037,2049,1732,2044,1870,2069,2084,2298,2050,2178,2050,2023,2057
0.3386,2034,2058,1546,2044,1804,2073,2082,2468,2051,2276,2050,1974,2063
0.4478,1993,2115,1415,2032,1804,2102,2053,2574,2065,2329,2050,1928,2093
0.5578,1915,2180,1365,1928,1804,2161,1967,2609,2174,2330,2051,1927,2156
0.6733,1837,2238,1294,1697,1804,2219,1841,2641,2418,2329,2051,1927,2230
0.7837,1799,2242,1216,1420,1810,2263,1751,2666,2705,2328,2051,1927,2291
0.8938,1777,2252,1167,1170,1855,2317,1662,2672,2958,2328,2051,1927,2298
1.0037,1744,2303,1147,1008,1955,2362,1604,2673,3111,2328,2051,1927,2298
1.1138,1691,2343,1145,978,2060,2386,1566,2673,3132,2327,2051,1927,2298
1.224,1649,2361,1144,978,2092,2397,1563,2673,3132,2327,2051,1927,2298
1.334,1640,2379,1142,981,2092,2417,1563,2674,3131,2326,2051,1927,2298
1.4438,1640,2420,1141,1035,2092,2431,1562,2674,3130,2326,2051,1927,2298
1.5543,1640,2466,1141,1161,2092,2439,1558,2674,3130,2326,2051,1927,2298
1.6658,1640,2513,1140,1313,2092,2442,1558,2674,3130,2326,2051,1926,2298
1.7768,1640,2556,1129,1442,2092,2442,1557,2674,3129,2325,2051,1926,2298
1.8872,1640,2598,1118,1532,2092,2442,1557,2674,3129,2325,2051,1926,2298
1.9966,1640,2630,1111,1581,2091,2442,1557,2674,3129,2325,2051,1927,2298
2.1066,1640,2647,1106,1596,2091,2443,1557,2674,3129,2325,2051,1927,2297
2.2185,1640,2654,1105,1596,2087,2443,1557,2674,3129,2325,2051,1928,2283
2.3287,1640,2656,1105,1596,2071,2443,1558,2674,3129,2325,2051,1928,2243
2.4386,1640,2656,1105,1596,2060,2443,1560,2674,3129,2325,2051,1928,2201
2.549,1640,2656,1105,1597,2038,2443,1561,2674,3129,2325,2051,1928,2159
2.6594,1640,2656,1105,1597,2001,2443,1564,2674,3129,2325,2051,1928,2108
2.7695,1640,2656,1105,1597,1965,2441,1575,2674,3129,2325,2051,1928,2047
2.8788,1640,2657,1105,1597,1927,2439,1604,2674,3129,2325,2051,1928,1977
2.9888,1641,2662,1105,1597,1881,2436,1666,2674,3130,2325,2051,1928,1903
3.0987,1646,2681,1105,1597,1855,2433,1738,2674,3130,2325,2051,1928,1845
3.2082,1649,2715,1105,1598,1852,2424,1838,2674,3130,2326,2051,1928,1794
3.3176,1649,2762,1105,1598,1852,2428,1917,2674,3094,2327,2052,1929,1783
3.427,1649,2787,1105,1598,1852,2466,2036,2674,2995,2327,2052,1929,1783
3.5366,1649,2801,1105,1598,1852,2477,2134,2674,2945,2327,2052,1928,1783
3.6462,1649,2801,1105,1598,1852,2478,2181,2674,2944,2327,2052,1928,1784
3.76,1649,2802,1105,1598,1852,2478,2186,2674,2944,2327,2052,1928,1784
3.8696,1649,2802,1105,1598,1852,2478,2186,2674,2944,2327,2052,1928,1784
3.979,1649,2802,1105,1598,1852,2478,2187,2674,2944,2327,2052,1928,1784
